date,adj_close
9/19/1984,166.94
9/20/1984,167.47
9/21/1984,165.67
9/24/1984,165.28
9/25/1984,165.62
9/26/1984,166.28
9/27/1984,166.96
9/28/1984,166.1
10/1/1984,164.62
10/2/1984,163.59
10/3/1984,162.44
10/4/1984,162.92
10/5/1984,162.68
10/8/1984,162.13
10/9/1984,161.67
10/10/1984,162.11
10/11/1984,162.78
10/12/1984,164.18
10/15/1984,165.77
10/16/1984,164.78
10/17/1984,164.14
10/18/1984,168.1
10/19/1984,167.96
10/22/1984,167.36
10/23/1984,167.09
10/24/1984,167.2
10/25/1984,166.31
10/26/1984,165.29
10/29/1984,164.78
10/30/1984,166.84
10/31/1984,166.09
11/1/1984,167.49
11/2/1984,167.41
11/5/1984,168.58
11/6/1984,170.41
11/7/1984,169.17
11/8/1984,168.68
11/9/1984,167.6
11/12/1984,167.36
11/13/1984,165.97
11/14/1984,165.99
11/15/1984,165.89
11/16/1984,164.1
11/19/1984,163.09
11/20/1984,164.18
11/21/1984,164.52
11/22/1984,164.52
11/23/1984,166.92
11/26/1984,165.55
11/27/1984,166.29
11/28/1984,165.02
11/29/1984,163.91
11/30/1984,163.58
12/3/1984,162.82
12/4/1984,163.38
12/5/1984,162.1
12/6/1984,162.76
12/7/1984,162.26
12/10/1984,162.83
12/11/1984,163.07
12/12/1984,162.63
12/13/1984,161.81
12/14/1984,162.68
12/17/1984,163.61
12/18/1984,168.11
12/19/1984,167.16
12/20/1984,166.38
12/21/1984,165.51
12/24/1984,166.76
12/25/1984,166.76
12/26/1984,166.47
12/27/1984,165.75
12/28/1984,166.26
12/31/1984,167.24
1/1/1985,167.24
1/2/1985,165.37
1/3/1985,164.57
1/4/1985,163.68
1/7/1985,164.24
1/8/1985,163.99
1/9/1985,165.18
1/10/1985,168.31
1/11/1985,167.91
1/14/1985,170.51
1/15/1985,170.81
1/16/1985,171.19
1/17/1985,170.73
1/18/1985,171.32
1/21/1985,175.23
1/22/1985,175.48
1/23/1985,177.3
1/24/1985,176.71
1/25/1985,177.35
1/28/1985,177.4
1/29/1985,179.18
1/30/1985,179.39
1/31/1985,179.63
2/1/1985,178.63
2/4/1985,180.35
2/5/1985,180.61
2/6/1985,180.43
2/7/1985,181.82
2/8/1985,182.19
2/11/1985,180.51
2/12/1985,180.56
2/13/1985,183.35
2/14/1985,182.41
2/15/1985,181.6
2/18/1985,181.6
2/19/1985,181.33
2/20/1985,181.18
2/21/1985,180.18
2/22/1985,179.36
2/25/1985,179.23
2/26/1985,181.17
2/27/1985,180.71
2/28/1985,181.18
3/1/1985,183.25
3/4/1985,182.06
3/5/1985,182.23
3/6/1985,180.65
3/7/1985,179.51
3/8/1985,179.1
3/11/1985,178.79
3/12/1985,179.66
3/13/1985,178.19
3/14/1985,177.61
3/15/1985,176.53
3/18/1985,176.88
3/19/1985,179.54
3/20/1985,179.08
3/21/1985,179.35
3/22/1985,179.04
3/25/1985,177.97
3/26/1985,178.43
3/27/1985,179.54
3/28/1985,179.54
3/29/1985,180.66
4/1/1985,181.27
4/2/1985,180.53
4/3/1985,179.11
4/4/1985,179.03
4/5/1985,179.03
4/8/1985,178.03
4/9/1985,178.21
4/10/1985,179.42
4/11/1985,180.19
4/12/1985,180.54
4/15/1985,180.92
4/16/1985,181.19
4/17/1985,181.68
4/18/1985,180.84
4/19/1985,181.11
4/22/1985,180.7
4/23/1985,181.88
4/24/1985,182.26
4/25/1985,183.43
4/26/1985,182.18
4/29/1985,180.63
4/30/1985,179.83
5/1/1985,178.37
5/2/1985,179.01
5/3/1985,180.08
5/6/1985,179.99
5/7/1985,180.76
5/8/1985,180.62
5/9/1985,181.92
5/10/1985,184.28
5/13/1985,184.61
5/14/1985,183.87
5/15/1985,184.54
5/16/1985,185.66
5/17/1985,187.42
5/20/1985,189.72
5/21/1985,189.64
5/22/1985,188.56
5/23/1985,187.6
5/24/1985,188.29
5/27/1985,188.29
5/28/1985,187.85
5/29/1985,187.68
5/30/1985,187.75
5/31/1985,189.55
6/3/1985,189.32
6/4/1985,190.04
6/5/1985,190.16
6/6/1985,191.06
6/7/1985,189.68
6/10/1985,189.51
6/11/1985,189.04
6/12/1985,187.61
6/13/1985,185.33
6/14/1985,187.1
6/17/1985,186.53
6/18/1985,187.34
6/19/1985,186.63
6/20/1985,186.73
6/21/1985,189.61
6/24/1985,189.15
6/25/1985,189.74
6/26/1985,190.06
6/27/1985,191.23
6/28/1985,191.85
7/1/1985,192.43
7/2/1985,192.01
7/3/1985,191.45
7/4/1985,191.45
7/5/1985,192.52
7/8/1985,191.93
7/9/1985,191.05
7/10/1985,192.37
7/11/1985,192.94
7/12/1985,193.29
7/15/1985,192.72
7/16/1985,194.72
7/17/1985,195.65
7/18/1985,194.39
7/19/1985,195.13
7/22/1985,194.35
7/23/1985,192.55
7/24/1985,191.58
7/25/1985,192.06
7/26/1985,192.4
7/29/1985,189.6
7/30/1985,189.93
7/31/1985,190.92
8/1/1985,192.11
8/2/1985,191.48
8/5/1985,190.62
8/6/1985,187.93
8/7/1985,187.68
8/8/1985,188.95
8/9/1985,188.32
8/12/1985,187.63
8/13/1985,187.3
8/14/1985,187.41
8/15/1985,187.26
8/16/1985,186.1
8/19/1985,186.38
